State,Internet Subscriptions (millions)
Andhra Pradesh,37.61
Assam,9.81
Bihar,28.4
Delhi,31.14
Gujarat,31.43
Haryana,9.05
Himachal Pradesh,6.94
Jammu & Kashmir,5.81
Karnataka,32.14
Kerala,19.8
Kolkata,13.35
Madhya Pradesh,25.88
Maharashtra,39.45
Mumbai,22.48
North East,5.94
Orissa,12.2
Punjab,18.63
Rajasthan,26.46
Tamil Nadu,39.57
UP (East),34.75
UP (West),23.79
West Bengal,19.31
